Ax,Ay,Az,Gx,Gy,Gz
-0.02,-0.78,-0.61,-0.27,0.12,-1.62
0.06,-0.73,-0.56,-0.08,0.44,-1.28
0.11,-0.69,-0.54,0.14,0.56,-0.95
0.14,-0.68,-0.53,0.06,1.07,-0.67
0.11,-0.65,-0.53,0.21,1.53,-0.48
0.14,-0.61,-0.31,0.75,1.45,-0.19
0.23,-0.52,-0.19,0.60,1.21,0.18
0.20,-0.57,-0.12,0.49,1.24,0.59
0.18,-0.62,-0.04,-0.16,1.31,0.81
0.17,-0.69,0.01,-0.09,1.35,1.06
0.12,-0.65,0.30,-0.05,1.67,1.34
-0.00,-0.82,0.30,-0.05,0.48,1.74
-0.22,-1.03,0.22,-0.38,0.25,1.65
-0.21,-1.09,0.30,-0.07,-0.33,1.40
-0.32,-1.22,0.11,-0.32,-0.65,1.27
-0.37,-1.38,0.03,-0.18,-1.09,1.01
-0.40,-1.49,-0.16,-0.10,-1.38,0.68
-0.52,-1.58,-0.27,-0.29,-1.51,0.27
-0.42,-1.44,-0.16,-0.02,-1.32,-0.34
-0.50,-1.35,-0.22,-0.67,-1.28,-0.61
-0.59,-1.33,-0.52,-1.41,-1.48,-0.99
-0.32,-1.15,-0.66,-0.68,-0.96,-1.45
-0.31,-1.08,-0.56,-0.28,-0.73,-1.57
-0.18,-0.94,-0.53,-0.43,-0.29,-1.59
-0.11,-0.84,-0.60,-0.59,0.09,-1.55
-0.00,-0.71,-0.64,-0.45,0.62,-1.25
0.04,-0.65,-0.64,0.12,0.86,-0.87
0.10,-0.57,-0.51,0.40,1.08,-0.52
0.08,-0.57,-0.48,0.58,1.35,-0.14
0.08,-0.58,-0.27,0.77,1.45,0.16
0.06,-0.62,-0.16,0.65,1.54,0.36
0.15,-0.60,-0.13,0.61,1.35,0.48
0.13,-0.66,0.07,0.83,1.51,0.84
0.05,-0.69,0.32,0.98,1.39,1.14
-0.01,-0.79,0.30,0.07,0.68,1.35
-0.10,-0.96,0.26,-0.30,0.51,1.30
-0.18,-1.04,0.25,-0.07,0.22,1.31
